Price,Close,High,Low,Open,Volume,Return,MA10,MA50,Signal,Position,Strategy_Return,Equity_Curve,Market_Curve,Price
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,
Date,,,,,,,,,,,,,,
2022-04-28,160.820,161.680,156.190,156.510,130216800,0.050,160.490,163.270,-1,-1.000,-0.050,9693.840,22145.140,160.820
2022-04-29,154.930,163.340,154.540,159.050,131747600,-0.040,159.740,162.980,-1,-1.000,0.040,10048.680,21334.520,154.930
2022-05-02,155.240,155.500,150.630,154.010,123055300,0.000,159.040,162.760,-1,-1.000,-0.000,10028.920,21376.480,155.240
2022-05-03,156.730,157.940,153.630,155.420,88966500,0.010,158.270,162.610,-1,-1.000,-0.010,9932.420,21582.170,156.730
2022-05-04,163.160,163.610,156.520,156.920,108256500,0.040,158.150,162.640,-1,-1.000,-0.040,9525.110,22467.220,163.160
2022-05-05,154.070,161.250,152.280,161.030,130525300,-0.060,157.200,162.580,-1,-1.000,0.060,10055.810,21215.430,154.070
2022-05-06,154.800,156.920,151.750,153.550,116124600,0.000,156.780,162.480,-1,-1.000,-0.000,10008.270,21315.720,154.800
2022-05-09,149.660,153.370,149.100,152.480,131577900,-0.030,155.740,162.230,-1,-1.000,0.030,10340.440,20608.260,149.660
2022-05-10,152.070,154.270,150.520,153.060,115366700,0.020,155.530,162.030,-1,-1.000,-0.020,10173.830,20940.310,152.070
2022-05-11,144.190,153.000,143.510,151.080,142689800,-0.050,154.570,161.700,-1,-1.000,0.050,10701.260,19854.740,144.190
2022-05-12,140.310,143.890,136.610,140.520,182602000,-0.030,152.520,161.230,-1,-1.000,0.030,10989.060,19320.760,140.310
2022-05-13,144.790,145.760,140.850,142.310,113990900,0.030,151.500,160.860,-1,-1.000,-0.030,10638.330,19937.410,144.790
2022-05-16,143.240,145.190,141.900,143.250,86643800,-0.010,150.300,160.520,-1,-1.000,0.010,10751.860,19724.630,143.240
2022-05-17,146.880,147.410,144.360,146.510,78336300,0.030,149.320,160.330,-1,-1.000,-0.030,10478.520,20226.080,146.880
2022-05-18,138.600,145.030,137.690,144.530,109742900,-0.060,146.860,160.000,-1,-1.000,0.060,11069.710,19084.940,138.600
2022-05-19,135.180,139.420,134.440,137.670,136095600,-0.020,144.970,159.500,-1,-1.000,0.020,11342.490,18614.660,135.180
2022-05-20,135.420,138.480,130.520,136.890,137426100,0.000,143.030,159.100,-1,-1.000,-0.000,11322.670,18647.190,135.420
2022-05-23,140.850,141.000,135.480,135.610,117726300,0.040,142.150,158.870,-1,-1.000,-0.040,10868.410,19395.300,140.850
2022-05-24,138.140,139.730,135.160,138.590,104132700,-0.020,140.760,158.680,-1,-1.000,0.020,11077.260,19022.600,138.140
2022-05-25,138.300,139.550,136.160,136.240,92482700,0.000,140.170,158.390,-1,-1.000,-0.000,11064.630,19044.290,138.300
2022-05-26,141.510,142.060,134.970,135.220,90601500,0.020,140.290,158.090,-1,-1.000,-0.020,10807.940,19486.100,141.510
2022-05-27,147.280,147.320,142.970,143.090,90978500,0.040,140.540,157.870,-1,-1.000,-0.040,10367.440,20280.290,147.280
2022-05-31,146.490,148.280,144.520,146.720,103718400,-0.010,140.870,157.580,-1,-1.000,0.010,10422.870,20171.870,146.490
2022-06-01,146.360,149.340,145.350,147.530,74286600,-0.000,140.810,157.260,-1,-1.000,0.000,10431.970,20154.260,146.360
2022-06-02,148.820,148.880,144.540,145.500,72348100,0.020,141.840,156.920,-1,-1.000,-0.020,10256.600,20493.070,148.820
2022-06-03,143.080,145.630,142.180,144.580,88570300,-0.040,142.630,156.430,-1,-1.000,0.040,10652.050,19702.950,143.080
2022-06-06,143.830,146.220,142.610,144.710,71598400,0.010,143.470,155.890,-1,-1.000,-0.010,10596.360,19805.940,143.830
2022-06-07,146.360,146.650,141.820,142.070,67808200,0.020,144.020,155.380,-1,-1.000,-0.020,10410.010,20154.260,146.360
2022-06-08,145.620,147.500,145.130,146.230,53950200,-0.010,144.770,154.840,-1,-1.000,0.010,10462.520,20052.610,145.620
2022-06-09,140.390,145.610,140.280,144.760,69473000,-0.040,144.980,154.130,-1,-1.000,0.040,10838.700,19331.600,140.390
2022-06-10,134.960,138.540,134.900,138.060,91437900,-0.040,144.320,153.340,-1,-1.000,0.040,11257.390,18584.850,134.960
2022-06-13,129.800,133.070,129.360,130.770,122207100,-0.040,142.570,152.500,-1,-1.000,0.040,11688.370,17873.330,129.800
2022-06-14,130.660,131.780,129.400,131.030,84784300,0.010,140.990,151.690,-1,-1.000,-0.010,11610.380,17992.590,130.660
2022-06-15,133.290,135.170,130.070,132.170,91533000,0.020,139.680,150.850,-1,-1.000,-0.020,11376.880,18354.450,133.290
2022-06-16,128.010,130.300,127.000,129.990,108123900,-0.040,137.600,149.970,-1,-1.000,0.040,11827.990,17626.670,128.010
2022-06-17,129.480,130.980,127.760,128.020,134520300,0.010,136.240,149.180,-1,-1.000,-0.010,11691.580,17829.960,129.480
2022-06-21,133.720,134.900,131.210,131.310,81000500,0.030,135.230,148.470,-1,-1.000,-0.030,11308.550,18414.080,133.720
2022-06-22,133.210,135.580,131.800,132.660,73409200,-0.000,133.920,147.790,-1,-1.000,0.000,11351.830,18343.610,133.210
2022-06-23,136.090,136.400,133.490,134.660,72433800,0.020,132.960,147.250,-1,-1.000,-0.020,11106.930,18739.350,136.090
2022-06-24,139.420,139.670,137.560,137.690,89116800,0.020,132.870,146.750,-1,-1.000,-0.020,10834.620,19198.790,139.420
2022-06-27,139.420,141.220,138.740,140.450,70207900,0.000,133.310,146.190,-1,-1.000,-0.000,10834.620,19198.790,139.420
2022-06-28,135.270,141.160,135.150,139.890,67083400,-0.030,133.860,145.640,-1,-1.000,0.030,11157.380,18626.860,135.270
2022-06-29,137.030,138.450,134.510,135.290,66242400,0.010,134.500,145.140,-1,-1.000,-0.010,11012.070,18869.450,137.030
2022-06-30,134.560,136.190,131.660,135.080,98964500,-0.020,134.620,144.540,-1,-1.000,0.020,11210.590,18529.280,134.560
2022-07-01,136.740,136.840,133.520,133.890,71051600,0.020,135.500,143.990,-1,-1.000,-0.020,11029.380,18828.790,136.740
2022-07-05,139.320,139.370,134.770,135.590,73353800,0.020,136.480,143.500,-1,-1.000,-0.020,10820.580,19185.230,139.320
